
  0%|          | 0/307 [00:00<?, ?it/s]
#########################
#### Training
#### Fold: 2 | Image Size: (224, 313) | Model: tf_efficientnet_b1_ns | Batch Size: 64 | Scheduler: cos















































































































100%|██████████| 307/307 [03:46<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  2.68it/s]
100%|██████████| 27/27 [00:18<00:00,  1.47it/s]
















































































































100%|██████████| 307/307 [03:46<00:00,  1.36it/s]








100%|██████████| 27/27 [00:19<00:00,  1.41it/s]
Epoch: 2 | Train Loss: 4.547621525848339 | Val Loss: 2.767083419693841 | Val Padded_cmAP : 0.6923760949432732
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.45it/s]
Epoch: 3 | Train Loss: 3.567686459917199 | Val Loss: 2.077228261364831 | Val Padded_cmAP : 0.7731545544652645
















































































































100%|██████████| 307/307 [03:46<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.44it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.44it/s]
Epoch: 5 | Train Loss: 2.9054633149883258 | Val Loss: 1.7310372039123818 | Val Padded_cmAP : 0.814288137375299
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.47it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.46it/s]
Epoch: 7 | Train Loss: 2.6325925460467507 | Val Loss: 1.5155683910405193 | Val Padded_cmAP : 0.8441780637454084
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.47it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:46<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.46it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.42it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.45it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.45it/s]
Epoch: 12 | Train Loss: 2.20715508204718 | Val Loss: 1.315505137046178 | Val Padded_cmAP : 0.8652839857331996















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.47it/s]
Epoch: 13 | Train Loss: 2.1917555398195496 | Val Loss: 1.2832295133007898 | Val Padded_cmAP : 0.8627230439262306















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.48it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]







100%|██████████| 27/27 [00:18<00:00,  1.44it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.44it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:46<00:00,  1.36it/s]







100%|██████████| 27/27 [00:18<00:00,  1.49it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








 96%|█████████▋| 26/27 [00:17<00:00,  2.09it/s]
100%|██████████| 27/27 [00:18<00:00,  1.49it/s]















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  2.62it/s]
100%|██████████| 27/27 [00:18<00:00,  1.48it/s]















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








 93%|█████████▎| 25/27 [00:18<00:00,  2.04it/s]
100%|██████████| 27/27 [00:18<00:00,  1.43it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:19<00:00,  2.65it/s]
100%|██████████| 27/27 [00:19<00:00,  1.39it/s]















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








 93%|█████████▎| 25/27 [00:18<00:00,  2.04it/s]
100%|██████████| 27/27 [00:18<00:00,  1.44it/s]
















































































































100%|██████████| 307/307 [03:44<00:00,  1.36it/s]








 93%|█████████▎| 25/27 [00:17<00:00,  2.03it/s]
100%|██████████| 27/27 [00:18<00:00,  1.47it/s]















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








 93%|█████████▎| 25/27 [00:17<00:00,  2.07it/s]
100%|██████████| 27/27 [00:18<00:00,  1.45it/s]
















































































































100%|██████████| 307/307 [03:44<00:00,  1.37it/s]








 93%|█████████▎| 25/27 [00:17<00:00,  2.05it/s]
100%|██████████| 27/27 [00:18<00:00,  1.45it/s]















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








 96%|█████████▋| 26/27 [00:18<00:00,  2.15it/s]
100%|██████████| 27/27 [00:18<00:00,  1.45it/s]















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.46it/s]
Epoch: 27 | Train Loss: 1.7374587956002947 | Val Loss: 1.048326450365561 | Val Padded_cmAP : 0.8935322244077414















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]








100%|██████████| 27/27 [00:18<00:00,  1.44it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































100%|██████████| 307/307 [03:45<00:00,  1.36it/s]







100%|██████████| 27/27 [00:18<00:00,  1.45it/s]
  0%|          | 0/307 [00:00<?, ?it/s]
















































































































