,type
0,['song']
1,['call']
2,['song']
3,['song']
4,"['call', 'song']"
5,['song']
6,"['call', 'song']"
7,['song']
8,['song']
9,"['adult', 'sex uncertain', 'song']"
10,['song']
11,['song']
12,"['adult', 'sex uncertain', 'song']"
13,"['adult', 'call', 'sex uncertain', 'song']"
14,['']
15,"['call', 'song']"
16,"['call', 'song']"
17,['song']
18,['song']
19,['song']
20,['song']
21,['song']
22,['song']
23,['song']
24,['song']
25,['song']
26,['call']
27,['song']
28,['song']
29,['song']
30,['call']
31,['call']
32,['call']
33,['call']
34,['call']
35,['Display call']
36,['call']
37,"['call', 'song']"
38,['song']
39,['song']
40,['song']
41,['song']
42,['song']
43,['alarm call']
44,['alarm call']
45,['alarm call']
46,['call']
47,['call']
48,['song']
49,['call']
50,['call']
51,['call']
52,['song']
53,"['alarm call', 'call']"
54,['call']
55,"['call', 'song']"
56,['song']
57,['call']
58,"['male', 'song']"
59,"['alarm call', 'song']"
60,"['call', 'song']"
61,"['alarm call', 'call']"
62,['call']
63,['song']
64,['song']
65,['call']
66,['call']
67,['call']
68,['call']
69,['song']
70,['song']
71,['song']
72,['song']
73,['song']
74,['song']
75,['song']
76,['call']
77,"['call', 'footsteps', 'wind']"
78,"['alarm call', 'call']"
79,['call']
80,['call']
81,['call']
82,['call']
83,"['call', 'female', 'male']"
84,['call']
85,['song']
86,['call']
87,['song']
88,['song']
89,['song']
90,['song']
91,['song']
92,['song']
93,['call']
94,['call']
95,['call']
96,['song']
97,['song']
98,['call']
99,['call']
100,['call']
101,"['call', 'sex uncertain']"
102,['song']
103,"['adult', 'sex uncertain', 'song']"
104,"['adult', 'sex uncertain', 'song']"
105,['song']
106,['song']
107,"['adult', 'call', 'sex uncertain']"
108,"['adult', 'sex uncertain', 'song']"
109,['song']
110,['song']
111,['call']
112,['song']
113,['uncertain']
114,"['adult', 'sex uncertain', 'whistle']"
115,['song']
116,"['adult', 'call', 'sex uncertain']"
117,"['adult', 'call', 'sex uncertain']"
118,['song']
119,"['adult', 'sex uncertain', 'song']"
120,"['adult', 'sex uncertain', 'song']"
121,['song']
122,"['adult', 'sex uncertain', 'song']"
123,"['adult', 'sex uncertain', 'song']"
124,"['adult', 'call', 'sex uncertain', 'song']"
125,"['adult', 'call', 'song']"
126,"['adult', 'alarm call', 'call', 'sex uncertain', 'song']"
127,"['adult', 'sex uncertain', 'song']"
128,"['adult', 'call', 'sex uncertain']"
129,"['adult', 'sex uncertain', 'song']"
130,['']
131,['']
132,['']
133,['']
134,['']
135,['']
136,['']
137,['']
138,['']
139,['']
140,['']
141,['song']
142,['song']
143,['song']
144,['song']
145,['song']
146,['call']
147,['call']
148,['song']
149,['call']
150,['song']
151,"['call', 'song']"
152,['call']
153,['call']
154,['song']
155,['song']
156,['call']
157,['call']
158,['call']
159,['song']
160,['song']
161,['song']
162,"['call', 'flight call']"
163,"['call', 'song']"
164,['song']
165,['call']
166,"['adult', 'flight call', 'sex uncertain']"
167,['']
168,['']
169,"['call', 'female', 'flight call', 'male', 'song']"
170,['song']
171,['song']
172,['call']
173,['song']
174,"['call', 'song']"
175,"['alarm call', 'call']"
176,['call']
177,['song']
178,['song']
179,"['adult', 'male', 'song']"
180,"['adult', 'male', 'song']"
181,"['adult', 'male', 'song']"
182,"['adult', 'male', 'song']"
183,"['adult', 'male', 'song']"
184,['song']
185,['']
186,['']
187,['song']
188,['song']
189,['song']
190,['song']
191,['song']
192,['call']
193,['song']
194,['call']
195,['call']
196,['call']
197,['call']
198,['call']
199,['call']
200,['call']
201,['call']
202,['call']
203,['song']
204,['song']
205,['call']
206,['song']
207,"['call', 'song']"
208,"['call', 'male']"
209,['call']
210,['song']
211,['song']
212,['call']
213,['call']
214,"['adult', 'sex uncertain', 'song']"
215,"['adult', 'sex uncertain', 'song']"
216,['call']
217,['']
218,['song']
219,['song']
220,['song']
221,['song']
222,"['male', 'song']"
223,"['male', 'song']"
224,['song']
225,['song']
226,['song']
227,['song']
228,"['male', 'song']"
229,['song']
230,['song']
231,['call']
232,['song']
233,['song']
234,['song']
235,['song']
236,"['male', 'song']"
237,"['male', 'song']"
238,"['male', 'song']"
239,['song']
240,['song']
241,['song']
242,['song']
243,['song']
244,['song']
245,['song']
246,['song']
247,['call']
248,['song']
249,"['male', 'song']"
250,"['male', 'song']"
251,['song']
252,['song']
253,['song']
254,['song']
255,['call']
256,['song']
257,['song']
258,['song']
259,['song']
260,['song']
261,['song']
262,['song']
263,['song']
264,['song']
265,['call']
